player_id,player_name,level,kills,deaths,wins,playtime_hours,join_date,last_active
1,ShadowNinja,45,2850,520,340,1250,2023-01-15,2024-05-20
2,PhoenixFire,38,2100,680,280,980,2023-02-20,2024-05-19
3,IceQueen,42,2650,590,310,1120,2023-03-10,2024-05-21
4,ThunderStrike,35,1850,720,250,850,2023-04-05,2024-05-18
5,MysticVoid,50,3200,480,380,1450,2022-12-01,2024-05-21
6,SilentAssassin,33,1650,780,220,750,2023-05-12,2024-05-17
7,NovaBlast,40,2400,610,300,1050,2023-01-25,2024-05-20
8,FrostByte,28,1200,950,180,520,2023-06-18,2024-05-15
9,InfernoKing,48,2950,520,360,1380,2022-11-30,2024-05-21
10,CrimsonBlade,37,2000,700,270,920,2023-03-22,2024-05-19
11,VoidWalker,41,2500,630,305,1100,2023-02-14,2024-05-20
12,LunarEclipse,29,1350,920,195,610,2023-05-08,2024-05-16
13,StormChaser,44,2750,560,335,1200,2023-01-03,2024-05-21
14,EchoHunter,31,1500,850,215,680,2023-04-28,2024-05-18
15,ArcticWolf,46,2850,550,350,1280,2022-12-20,2024-05-21
